Symbol,Name,Type,Market Cap/Assets,Div Growth 5Y,Div Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
VOO,Vanguard S&P 500 ETF,ETF,826909119301,5.76%,6.07%,68.37%,74.17%,11.74%,14.36%
IVV,iShares Core S&P 500 ETF,ETF,726304714367,7.22%,5.41%,68.36%,74.16%,11.74%,14.34%
SPY,State Street SPDR S&P 500 ETF,ETF,653253345013,5.82%,5.49%,68.00%,73.66%,11.67%,14.29%
VTI,Vanguard Total Stock Market ETF,ETF,566199075760,5.92%,6.34%,67.19%,64.79%,10.51%,13.92%
QQQ,Invesco QQQ Trust Series I,ETF,375979112450,9.72%,9.12%,89.58%,83.18%,12.87%,19.24%
VEA,Vanguard FTSE Developed Markets ETF,ETF,207035775268,12.00%,6.01%,58.89%,51.02%,8.60%,9.78%
IEFA,iShares Core MSCI EAFE ETF,ETF,171321963907,13.31%,8.34%,52.25%,45.70%,7.82%,9.25%
VTV,Vanguard Value ETF,ETF,164346643462,5.88%,6.29%,52.93%,67.48%,10.87%,12.05%
VXUS,Vanguard Total International Stock ETF,ETF,134168589659,11.35%,6.14%,55.86%,42.41%,7.33%,9.27%
IJH,iShares Core S&P Mid-Cap ETF,ETF,107232490496,9.60%,7.18%,45.17%,37.42%,6.57%,10.78%
VIG,Vanguard Dividend Appreciation ETF,ETF,99717248961,8.14%,6.91%,48.33%,58.49%,9.65%,12.49%
VO,Vanguard Mid-Cap ETF,ETF,93179989596,8.41%,7.92%,47.70%,39.11%,6.83%,11.04%
XLK,State Street Technology Select Sector SPDR ETF,ETF,86268382571,6.84%,6.52%,88.41%,105.52%,15.50%,21.34%
RSP,Invesco S&P 500 Equal Weight ETF,ETF,85487142956,9.17%,8.50%,42.51%,45.82%,7.84%,11.48%
SCHD,Schwab US Dividend Equity ETF,ETF,84817800063,8.68%,10.43%,40.77%,47.87%,8.14%,12.38%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,ETF,80602304753,5.29%,6.11%,67.06%,64.65%,10.49%,13.87%
EFA,iShares MSCI EAFE ETF,ETF,72179822034,12.57%,6.79%,51.51%,47.53%,8.09%,9.16%
VB,Vanguard Small-Cap ETF,ETF,71466458645,8.57%,6.36%,50.23%,30.95%,5.54%,10.87%
IWD,iShares Russell 1000 Value ETF,ETF,70493223943,6.39%,3.58%,50.58%,54.70%,9.12%,10.66%
VT,Vanguard Total World Stock ETF,ETF,63516036836,9.91%,6.64%,62.32%,55.58%,9.24%,11.87%
VEU,Vanguard FTSE All-World ex-US Index Fund,ETF,59654584978,12.60%,5.63%,56.61%,43.42%,7.48%,9.41%
SCHF,Schwab International Equity ETF,ETF,58446470652,14.08%,8.71%,58.82%,52.02%,8.74%,9.84%
IXUS,iShares Core MSCI Total International Stock ETF,ETF,52493087962,11.95%,7.51%,56.08%,41.68%,7.22%,9.28%
IWR,iShares Russell Midcap ETF,ETF,49078307493,9.12%,5.99%,50.05%,40.09%,6.98%,11.05%
SCHG,Schwab U.S. Large-Cap Growth ETF,ETF,48969281019,9.57%,4.58%,85.80%,79.89%,12.46%,17.17%
XLF,State Street Financial Select Sector SPDR ETF,ETF,48713500192,6.07%,4.79%,64.27%,56.65%,9.39%,12.77%
VV,Vanguard Large-Cap ETF,ETF,46002707082,6.01%,6.21%,69.31%,70.69%,11.29%,14.34%
IWB,iShares Russell 1000 ETF,ETF,43049392135,5.56%,5.06%,67.40%,67.79%,10.91%,14.04%
SMH,VanEck Semiconductor ETF,ETF,42706012354,7.03%,14.39%,217.09%,217.41%,25.99%,31.92%
XLE,State Street Energy Select Sector SPDR ETF,ETF,41971515941,7.43%,4.18%,52.52%,192.42%,23.94%,11.52%
DGRO,iShares Core Dividend Growth ETF,ETF,37696853855,7.09%,8.72%,50.91%,61.15%,10.02%,13.04%
SPDW,State Street SPDR Portfolio Developed World ex-US ETF,ETF,36551179395,11.92%,7.29%,58.77%,49.29%,8.35%,9.70%
VBR,Vanguard Small Cap Value ETF,ETF,32747760544,9.54%,6.26%,50.97%,44.75%,7.68%,10.44%
VGK,Vanguard FTSE Europe ETF,ETF,29172350854,13.77%,4.61%,51.48%,51.48%,8.66%,9.35%
EFV,iShares MSCI EAFE Value ETF,ETF,28918235716,14.42%,6.70%,76.94%,79.18%,12.37%,10.09%
ACWI,iShares MSCI ACWI ETF,ETF,28458977259,9.27%,4.20%,62.60%,56.98%,9.44%,11.93%
XLI,State Street Industrial Select Sector SPDR ETF,ETF,28454471827,9.96%,5.84%,76.01%,77.65%,12.18%,13.61%
TQQQ,ProShares UltraPro QQQ,ETF,25403387566,537.24%,51.04%,239.65%,81.67%,12.68%,36.13%
MDY,State Street SPDR S&P MIDCAP 400 ETF Trust,ETF,24322745154,9.77%,6.93%,45.03%,36.89%,6.48%,10.63%
IUSV,iShares Core S&P US Value ETF,ETF,24143675996,5.14%,5.16%,49.47%,62.69%,10.22%,11.73%
FNDX,Schwab Fundamental U.S. Large Company ETF,ETF,23825447071,5.92%,8.37%,62.45%,76.24%,12.00%,13.53%
DVY,iShares Select Dividend ETF,ETF,22367390008,8.20%,7.18%,44.66%,57.39%,9.50%,10.43%
FNDF,Schwab Fundamental International Equity ETF,ETF,21694448747,17.09%,9.83%,76.54%,79.54%,12.42%,11.54%
SOXX,iShares Semiconductor ETF,ETF,21386112394,9.81%,15.63%,147.94%,139.70%,19.11%,28.79%
VOE,Vanguard Mid-Cap Value ETF,ETF,21322409015,7.25%,6.04%,50.40%,51.48%,8.66%,10.54%
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,ETF,20781673559,8.97%,4.21%,54.23%,31.09%,5.56%,11.99%
MTUM,iShares MSCI USA Momentum Factor ETF,ETF,20741094250,14.77%,9.45%,78.91%,58.13%,9.60%,14.38%
EWJ,iShares MSCI Japan ETF,ETF,18748602753,36.77%,17.66%,61.01%,37.98%,6.65%,9.16%
VYMI,Vanguard International High Dividend Yield ETF,ETF,18116672272,10.88%,,75.18%,79.87%,12.46%,10.64%
OEF,iShares S&P 100 ETF,ETF,17896125197,5.21%,5.01%,77.91%,84.76%,13.06%,15.24%
VONV,Vanguard Russell 1000 Value ETF,ETF,16866247847,6.51%,4.92%,51.11%,55.61%,9.25%,10.77%
SPHQ,Invesco S&P 500 Quality ETF,ETF,15978530231,7.58%,7.14%,67.60%,80.78%,12.57%,13.79%
SPMD,State Street SPDR Portfolio S&P 400 Mid Cap ETF,ETF,15796912293,9.48%,-5.18%,46.27%,38.53%,6.74%,11.04%
IWS,iShares Russell Mid-Cap Value ETF,ETF,14166215691,6.17%,3.22%,48.68%,44.53%,7.65%,9.89%
GSLC,TR Activebeta US Large Cap Equity ETF,ETF,13976083169,7.17%,,62.89%,66.86%,10.78%,13.46%
SCHM,Schwab U.S. Mid-Cap ETF,ETF,13093421536,11.14%,6.83%,49.11%,34.11%,6.05%,10.58%
SPMO,Invesco S&P 500 Momentum ETF,ETF,13088334482,12.03%,,113.16%,123.49%,17.45%,17.53%
IWN,iShares Russell 2000 Value ETF,ETF,12526424212,8.52%,4.71%,52.98%,30.79%,5.52%,9.84%
AMLP,Alerian MLP ETF,ETF,12119140236,7.08%,-3.53%,70.34%,151.94%,20.30%,8.90%
IQLT,iShares MSCI Intl Quality Factor ETF,ETF,12000478118,8.42%,5.20%,42.91%,42.00%,7.27%,9.38%
SPTM,State Street SPDR Portfolio S&P 1500 Composite Stock Market ETF,ETF,11843319481,7.01%,6.34%,66.39%,70.63%,11.28%,14.13%
MOAT,VanEck Morningstar Wide Moat ETF,ETF,11563351028,11.28%,13.15%,38.41%,45.29%,7.76%,13.68%
MGV,Vanguard Mega Cap Value ETF,ETF,11339660928,7.06%,6.70%,53.89%,71.11%,11.34%,12.31%
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,ETF,11045360787,5.49%,8.52%,24.93%,34.47%,6.10%,9.69%
VSS,Vanguard FTSE All-World ex-US Small-Cap ETF,ETF,10689425647,11.12%,7.18%,50.46%,30.28%,5.43%,7.98%
VDE,Vanguard Energy ETF,ETF,10537378376,9.60%,1.72%,56.08%,197.07%,24.33%,11.15%
IGF,iShares Global Infrastructure ETF,ETF,10287429612,9.50%,4.54%,54.45%,71.14%,11.35%,9.16%
VLUE,iShares MSCI USA Value Factor ETF,ETF,10272889741,8.63%,5.83%,71.45%,59.41%,9.78%,12.12%
IJK,iShares S&P Mid-Cap 400 Growth ETF,ETF,10142001131,5.68%,3.50%,49.39%,33.12%,5.89%,10.82%
NVDA,NVIDIA Corporation,Stock,4315941440000,20.11%,13.72%,561.42%,1173.19%,66.33%,70.12%
AVGO,Broadcom Inc.,Stock,1488721717095,12.60%,30.36%,420.18%,611.46%,48.06%,38.58%
TSM,Taiwan Semiconductor Manufacturing Company Limited,Stock,1772541483644,13.84%,13.37%,292.26%,192.87%,23.98%,32.35%
LLY,Eli Lilly and Company,Stock,829550791820,14.40%,11.92%,161.67%,427.05%,39.43%,31.09%
JPM,JPMorgan Chase & Co.,Stock,796838215194,10.38%,12.86%,147.90%,118.23%,16.89%,20.78%
V,Visa Inc.,Stock,578149802789,14.87%,16.65%,35.99%,43.67%,7.52%,15.51%
ASML,ASML Holding N.V.,Stock,502588914444,18.74%,20.35%,100.90%,111.79%,16.19%,30.47%
MA,Mastercard Incorporated,Stock,447243873967,14.18%,16.63%,40.06%,40.10%,6.98%,18.89%
MU,"Micron Technology, Inc.",Stock,426012815106,37.70%,17.34%,572.42%,313.15%,32.81%,43.58%
ORCL,Oracle Corporation,Stock,418579734840,13.97%,12.79%,59.00%,110.15%,16.01%,15.35%
ABBV,AbbVie Inc.,Stock,365585495702,6.33%,12.05%,43.26%,135.79%,18.71%,18.23%
BAC,Bank of America Corporation,Stock,357714201601,8.85%,18.59%,95.78%,42.02%,7.27%,16.82%
HD,"The Home Depot, Inc.",Stock,325347145369,8.46%,14.14%,22.06%,17.03%,3.20%,11.92%
AMAT,"Applied Materials, Inc.",Stock,279842711302,15.38%,16.49%,208.44%,157.24%,20.80%,34.12%
LRCX,Lam Research Corporation,Stock,275541321150,14.87%,23.74%,360.25%,252.21%,28.64%,40.98%
GS,"The Goldman Sachs Group, Inc.",Stock,265520404028,25.39%,19.55%,189.88%,201.84%,24.73%,21.21%
MS,Morgan Stanley,Stock,264458117309,22.90%,20.66%,119.35%,150.56%,20.17%,24.66%
AXP,American Express Company,Stock,209664579060,14.67%,11.39%,96.66%,122.41%,17.34%,19.36%
KLAC,KLA Corporation,Stock,201865845537,16.12%,13.83%,314.82%,357.08%,35.52%,38.11%
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Stock,199269085067,16.27%,18.08%,191.83%,260.43%,29.23%,18.34%
NEE,"NextEra Energy, Inc.",Stock,193370133744,9.58%,10.97%,29.22%,37.45%,6.57%,15.19%
AMGN,Amgen Inc.,Stock,184668413425,7.84%,10.59%,48.53%,59.03%,9.72%,11.67%
TXN,Texas Instruments Incorporated,Stock,181564606641,7.02%,14.15%,23.18%,16.78%,3.15%,16.36%
TJX,"The TJX Companies, Inc.",Stock,179104100030,27.54%,14.71%,115.96%,156.94%,20.77%,16.96%
SCHW,The Charles Schwab Corporation,Stock,161625867019,9.43%,16.28%,98.82%,45.67%,7.81%,14.44%
APH,Amphenol Corporation,Stock,155483396496,25.18%,19.80%,232.43%,284.84%,30.94%,25.31%
DE,Deere & Company,Stock,155335996805,15.30%,10.44%,60.40%,63.86%,10.38%,24.42%
SCCO,Southern Copper Corporation,Stock,145940984465,10.29%,32.21%,179.72%,225.13%,26.59%,26.01%
LOW,"Lowe's Companies, Inc.",Stock,131726918501,15.35%,15.67%,25.07%,33.24%,5.91%,14.07%
PBR,Petróleo Brasileiro S.A. - Petrobras,Stock,134429480893,23.30%,49.06%,215.36%,621.30%,48.46%,27.89%
PBR.A,Petróleo Brasileiro S.A. - Petrobras,Stock,123930452320,30.55%,49.10%,235.22%,687.46%,51.09%,32.45%
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Stock,78247115497,8.81%,14.53%,170.62%,210.27%,25.41%,17.28%
SPGI,S&P Global Inc.,Stock,128487709365,5.98%,10.80%,29.10%,23.25%,4.27%,17.33%
PLD,"Prologis, Inc.",Stock,126300106269,11.59%,10.01%,19.10%,40.75%,7.08%,14.84%
PH,Parker-Hannifin Corporation,Stock,115122096101,14.43%,11.07%,202.00%,205.09%,24.99%,25.63%
PGR,The Progressive Corporation,Stock,114874998788,23.19%,35.21%,46.76%,127.31%,17.85%,22.29%
HCA,"HCA Healthcare, Inc.",Stock,108189494027,43.69%,23.72%,82.59%,168.51%,21.84%,20.86%
MCK,McKesson Corporation,Stock,104943577677,13.54%,10.96%,132.82%,352.80%,35.26%,19.59%
AEM,Agnico Eagle Mines Limited,Stock,104456303036,5.71%,17.82%,296.72%,292.20%,31.43%,21.22%
CNQ,Canadian Natural Resources Limited,Stock,100648052452,20.87%,17.41%,88.82%,301.90%,32.08%,19.94%
NOC,Northrop Grumman Corporation,Stock,98825251701,9.31%,10.84%,55.29%,128.13%,17.93%,14.98%
TT,Trane Technologies plc,Stock,95369704545,12.18%,12.83%,161.39%,174.45%,22.37%,26.91%
ICE,"Intercontinental Exchange, Inc.",Stock,94248414323,10.21%,12.43%,62.68%,54.18%,9.04%,14.82%
ITUB,Itaú Unibanco Holding S.A.,Stock,92909299955,48.49%,12.95%,143.33%,213.54%,25.68%,14.17%
FCX,Freeport-McMoRan Inc.,Stock,87741158046,51.57%,28.21%,57.85%,84.93%,13.08%,21.86%
PNC,"The PNC Financial Services Group, Inc.",Stock,85974494940,8.13%,12.79%,97.87%,42.89%,7.40%,13.52%
FDX,FedEx Corporation,Stock,85621648323,16.52%,19.22%,66.22%,40.50%,7.04%,10.00%
BK,The Bank of New York Mellon Corporation,Stock,85085501785,10.69%,11.72%,199.37%,195.78%,24.22%,15.90%
MRSH,"Marsh & McLennan Companies, Inc.",Stock,84634601909,14.12%,11.25%,8.48%,50.83%,8.57%,13.09%
MCO,Moody's Corporation,Stock,79051520888,10.28%,10.49%,50.30%,48.93%,8.29%,17.96%
SHW,The Sherwin-Williams Company,Stock,77811521771,9.72%,12.15%,45.81%,29.23%,5.26%,13.74%
EOG,"EOG Resources, Inc.",Stock,76634147193,21.28%,19.67%,31.95%,154.44%,20.54%,10.72%
RCL,Royal Caribbean Cruises Ltd.,Stock,74584653137,60.42%,10.98%,354.98%,216.37%,25.90%,14.45%
ITW,Illinois Tool Works Inc.,Stock,74462421084,7.11%,11.48%,20.91%,30.71%,5.50%,12.38%
MSI,"Motorola Solutions, Inc.",Stock,73360611859,11.24%,11.86%,59.40%,144.82%,19.61%,21.12%
CI,The Cigna Group,Stock,72688635200,43.52%,65.29%,9.66%,23.99%,4.39%,8.39%
ROST,"Ross Stores, Inc.",Stock,71308546622,42.25%,13.04%,114.44%,90.16%,13.72%,15.47%
MPC,Marathon Petroleum Corporation,Stock,71091546349,10.49%,11.55%,94.02%,406.58%,38.33%,24.67%
NTES,"NetEase, Inc.",Stock,71899082613,30.68%,22.06%,37.09%,18.43%,3.44%,16.90%
B,Barrick Mining Corporation,Stock,68823805027,11.49%,26.58%,123.99%,130.51%,18.18%,13.59%
CTAS,Cintas Corporation,Stock,68681481547,6.80%,18.00%,56.06%,103.10%,15.22%,24.04%
TDG,TransDigm Group Incorporated,Stock,67183209487,37.22%,14.13%,92.60%,137.07%,18.84%,24.12%
IMO,Imperial Oil Limited,Stock,64337623267,24.45%,17.73%,159.11%,492.13%,42.72%,18.23%
WPM,Wheaton Precious Metals Corp.,Stock,60881815698,8.92%,13.18%,177.81%,253.44%,28.73%,25.15%
NWG,NatWest Group plc,Stock,30660452950,57.94%,31.46%,183.96%,278.59%,30.51%,14.78%
MPWR,"Monolithic Power Systems, Inc.",Stock,57960713540,26.04%,23.64%,155.07%,223.70%,26.48%,35.20%
AFL,Aflac Incorporated,Stock,56804151675,14.01%,11.24%,82.64%,140.31%,19.17%,15.89%
DB,Deutsche Bank Aktiengesellschaft,Stock,57200401067,29.37%,10.36%,214.20%,166.59%,21.67%,8.93%
ALL,The Allstate Corporation,Stock,54076888039,8.61%,12.47%,94.20%,100.09%,14.88%,14.56%
AU,AngloGold Ashanti plc,Stock,51312646155,57.09%,46.47%,313.27%,395.28%,37.71%,23.98%
UI,Ubiquiti Inc.,Stock,50844729455,13.40%,28.21%,229.42%,203.79%,24.89%,38.97%
FIX,"Comfort Systems USA, Inc.",Stock,50360891205,38.91%,24.33%,1001.93%,1819.18%,80.56%,46.93%
AME,"AMETEK, Inc.",Stock,50032471002,11.41%,13.44%,64.16%,72.62%,11.54%,16.94%
NDAQ,"Nasdaq, Inc.",Stock,49966214942,10.58%,12.47%,68.02%,85.53%,13.16%,16.89%
KR,The Kroger Co.,Stock,44736396871,14.22%,12.79%,62.34%,121.11%,17.20%,8.88%
WAB,Westinghouse Air Brake Technologies Corporation,Stock,43228767249,17.17%,12.72%,167.27%,222.71%,26.40%,13.08%
FITB,Fifth Third Bancorp,Stock,43068599965,7.77%,11.68%,107.79%,50.01%,8.45%,15.17%
GFI,Gold Fields Limited,Stock,41779720320,41.72%,59.01%,245.53%,421.50%,39.14%,31.14%
DHI,"D.R. Horton, Inc.",Stock,41056765139,17.01%,18.84%,49.88%,60.84%,9.97%,18.22%
MT,ArcelorMittal S.A.,Stock,40878309843,13.90%,19.12%,98.83%,88.38%,13.50%,18.23%
MSCI,MSCI Inc.,Stock,39975547822,19.01%,23.81%,5.30%,30.89%,5.53%,23.52%
HEI,HEICO Corporation,Stock,38614507291,7.14%,11.35%,66.36%,115.43%,16.59%,25.09%
EQT,EQT Corporation,Stock,37742035414,38.84%,18.31%,93.69%,256.22%,28.93%,6.50%
HIG,"The Hartford Insurance Group, Inc.",Stock,38047579745,10.66%,10.31%,108.55%,120.97%,17.18%,13.96%
VMC,Vulcan Materials Company,Stock,36775353546,6.98%,12.74%,75.58%,72.12%,11.47%,11.26%
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",Stock,22920771060,28.87%,18.04%,37.57%,70.11%,11.21%,4.49%
ARES,Ares Management Corporation,Stock,33879569255,23.04%,18.82%,41.80%,102.90%,15.20%,26.41%
EME,"EMCOR Group, Inc.",Stock,33735200048,25.35%,15.05%,395.23%,574.58%,46.49%,32.50%
HEI.A,HEICO Corporation,Stock,34031665291,7.14%,11.35%,62.42%,82.58%,12.80%,24.69%
AXIA,AXIA Energia SA,Stock,25771823980,14.60%,15.45%,151.06%,176.33%,22.54%,26.87%
NRG,"NRG Energy, Inc.",Stock,32087979256,7.51%,14.46%,366.84%,359.94%,35.69%,31.15%
CBOE,"Cboe Global Markets, Inc.",Stock,31009997344,10.68%,11.73%,126.42%,212.31%,25.58%,17.85%
TPL,Texas Pacific Land Corporation,Stock,30945105928,5.02%,51.54%,136.69%,170.22%,22.00%,41.07%
EC,Ecopetrol S.A.,Stock,30673054246,82.38%,27.30%,113.22%,119.86%,17.07%,15.48%
IBKR,"Interactive Brokers Group, Inc.",Stock,30578230100,26.19%,12.33%,248.48%,275.66%,30.30%,22.56%
XYL,Xylem Inc.,Stock,30113063009,8.58%,10.67%,28.05%,23.42%,4.30%,13.06%
RJF,"Raymond James Financial, Inc.",Stock,27935683584,15.47%,15.17%,64.84%,77.10%,12.11%,18.27%
BAP,Credicorp Ltd.,Stock,26891781012,63.05%,19.65%,212.16%,201.38%,24.69%,14.97%
