Symbol,Name,Type,Market Cap/Assets,Div Growth 5Y,Div Growth 10Y,Return 3Y,Return 5Y,CAGR 5Y,CAGR 10Y
A,A,Stock,,,,,,,
AAL,AAL,Stock,,,,,,,
AAPL,AAPL,Stock,,,,,,,
ABBV,ABBV,Stock,,,,,,,
ABC,ABC,Stock,,,,,,,
ABMD,ABMD,Stock,,,,,,,
ABT,ABT,Stock,,,,,,,
ACN,ACN,Stock,,,,,,,
ADBE,ADBE,Stock,,,,,,,
ADI,ADI,Stock,,,,,,,
ADM,ADM,Stock,,,,,,,
ADP,ADP,Stock,,,,,,,
ADSK,ADSK,Stock,,,,,,,
AEE,AEE,Stock,,,,,,,
AEP,AEP,Stock,,,,,,,
AES,AES,Stock,,,,,,,
AFL,AFL,Stock,,,,,,,
AIG,AIG,Stock,,,,,,,
AIZ,AIZ,Stock,,,,,,,
AJG,AJG,Stock,,,,,,,
AKAM,AKAM,Stock,,,,,,,
ALB,ALB,Stock,,,,,,,
ALGN,ALGN,Stock,,,,,,,
ALK,ALK,Stock,,,,,,,
ALL,ALL,Stock,,,,,,,
ALLE,ALLE,Stock,,,,,,,
AMAT,AMAT,Stock,,,,,,,
AMCR,AMCR,Stock,,,,,,,
AMD,AMD,Stock,,,,,,,
AME,AME,Stock,,,,,,,
AMGN,AMGN,Stock,,,,,,,
AMP,AMP,Stock,,,,,,,
AMT,AMT,Stock,,,,,,,
AMZN,AMZN,Stock,,,,,,,
ANET,ANET,Stock,,,,,,,
ANSS,ANSS,Stock,,,,,,,
AON,AON,Stock,,,,,,,
AOS,AOS,Stock,,,,,,,
APA,APA,Stock,,,,,,,
APD,APD,Stock,,,,,,,
APH,APH,Stock,,,,,,,
APTV,APTV,Stock,,,,,,,
ARE,ARE,Stock,,,,,,,
ATO,ATO,Stock,,,,,,,
ATVI,ATVI,Stock,,,,,,,
AVB,AVB,Stock,,,,,,,
AVGO,AVGO,Stock,,,,,,,
AVY,AVY,Stock,,,,,,,
AWK,AWK,Stock,,,,,,,
AXP,AXP,Stock,,,,,,,
AZO,AZO,Stock,,,,,,,
BA,BA,Stock,,,,,,,
BAC,BAC,Stock,,,,,,,
BALL,BALL,Stock,,,,,,,
BAX,BAX,Stock,,,,,,,
BBWI,BBWI,Stock,,,,,,,
BBY,BBY,Stock,,,,,,,
BDX,BDX,Stock,,,,,,,
BEN,BEN,Stock,,,,,,,
BF.B,BF.B,Stock,,,,,,,
BIIB,BIIB,Stock,,,,,,,
BIO,BIO,Stock,,,,,,,
BK,BK,Stock,,,,,,,
BKNG,BKNG,Stock,,,,,,,
BKR,BKR,Stock,,,,,,,
BLK,BLK,Stock,,,,,,,
BMY,BMY,Stock,,,,,,,
BR,BR,Stock,,,,,,,
BRK.B,BRK.B,Stock,,,,,,,
BRO,BRO,Stock,,,,,,,
BSX,BSX,Stock,,,,,,,
BWA,BWA,Stock,,,,,,,
BXP,BXP,Stock,,,,,,,
C,C,Stock,,,,,,,
CAG,CAG,Stock,,,,,,,
CAH,CAH,Stock,,,,,,,
CARR,CARR,Stock,,,,,,,
CAT,CAT,Stock,,,,,,,
CB,CB,Stock,,,,,,,
CBOE,CBOE,Stock,,,,,,,
CBRE,CBRE,Stock,,,,,,,
CCI,CCI,Stock,,,,,,,
CCL,CCL,Stock,,,,,,,
CDAY,CDAY,Stock,,,,,,,
CDNS,CDNS,Stock,,,,,,,
CDW,CDW,Stock,,,,,,,
CE,CE,Stock,,,,,,,
CEG,CEG,Stock,,,,,,,
CF,CF,Stock,,,,,,,
CFG,CFG,Stock,,,,,,,
CHD,CHD,Stock,,,,,,,
CHRW,CHRW,Stock,,,,,,,
CHTR,CHTR,Stock,,,,,,,
CI,CI,Stock,,,,,,,
CINF,CINF,Stock,,,,,,,
CL,CL,Stock,,,,,,,
CLX,CLX,Stock,,,,,,,
CMA,CMA,Stock,,,,,,,
CMCSA,CMCSA,Stock,,,,,,,
CME,CME,Stock,,,,,,,
CMG,CMG,Stock,,,,,,,
CMI,CMI,Stock,,,,,,,
CMS,CMS,Stock,,,,,,,
CNC,CNC,Stock,,,,,,,
CNP,CNP,Stock,,,,,,,
COF,COF,Stock,,,,,,,
COO,COO,Stock,,,,,,,
COP,COP,Stock,,,,,,,
COST,COST,Stock,,,,,,,
CPB,CPB,Stock,,,,,,,
CPRT,CPRT,Stock,,,,,,,
CPT,CPT,Stock,,,,,,,
CRL,CRL,Stock,,,,,,,
CRM,CRM,Stock,,,,,,,
CSCO,CSCO,Stock,,,,,,,
CSX,CSX,Stock,,,,,,,
CTAS,CTAS,Stock,,,,,,,
CTLT,CTLT,Stock,,,,,,,
CTRA,CTRA,Stock,,,,,,,
CTSH,CTSH,Stock,,,,,,,
CTVA,CTVA,Stock,,,,,,,
CVS,CVS,Stock,,,,,,,
CVX,CVX,Stock,,,,,,,
CZR,CZR,Stock,,,,,,,
D,D,Stock,,,,,,,
DAL,DAL,Stock,,,,,,,
DD,DD,Stock,,,,,,,
DE,DE,Stock,,,,,,,
DFS,DFS,Stock,,,,,,,
DG,DG,Stock,,,,,,,
DGX,DGX,Stock,,,,,,,
DHI,DHI,Stock,,,,,,,
DHR,DHR,Stock,,,,,,,
DIS,DIS,Stock,,,,,,,
DLR,DLR,Stock,,,,,,,
DLTR,DLTR,Stock,,,,,,,
DOV,DOV,Stock,,,,,,,
DOW,DOW,Stock,,,,,,,
DPZ,DPZ,Stock,,,,,,,
DRI,DRI,Stock,,,,,,,
DTE,DTE,Stock,,,,,,,
DUK,DUK,Stock,,,,,,,
DVA,DVA,Stock,,,,,,,
DVN,DVN,Stock,,,,,,,
DXC,DXC,Stock,,,,,,,
DXCM,DXCM,Stock,,,,,,,
EA,EA,Stock,,,,,,,
EBAY,EBAY,Stock,,,,,,,
ECL,ECL,Stock,,,,,,,
ED,ED,Stock,,,,,,,
EFX,EFX,Stock,,,,,,,
EIX,EIX,Stock,,,,,,,
EL,EL,Stock,,,,,,,
EMN,EMN,Stock,,,,,,,
EMR,EMR,Stock,,,,,,,
ENPH,ENPH,Stock,,,,,,,
EOG,EOG,Stock,,,,,,,
EPAM,EPAM,Stock,,,,,,,
EQIX,EQIX,Stock,,,,,,,
EQR,EQR,Stock,,,,,,,
ES,ES,Stock,,,,,,,
ESS,ESS,Stock,,,,,,,
ETN,ETN,Stock,,,,,,,
ETR,ETR,Stock,,,,,,,
ETSY,ETSY,Stock,,,,,,,
EVRG,EVRG,Stock,,,,,,,
EW,EW,Stock,,,,,,,
EXC,EXC,Stock,,,,,,,
EXPD,EXPD,Stock,,,,,,,
EXPE,EXPE,Stock,,,,,,,
EXR,EXR,Stock,,,,,,,
F,F,Stock,,,,,,,
FANG,FANG,Stock,,,,,,,
FAST,FAST,Stock,,,,,,,
FBHS,FBHS,Stock,,,,,,,
FCX,FCX,Stock,,,,,,,
FDS,FDS,Stock,,,,,,,
FDX,FDX,Stock,,,,,,,
FE,FE,Stock,,,,,,,
FFIV,FFIV,Stock,,,,,,,
FI,FI,Stock,,,,,,,
FICO,FICO,Stock,,,,,,,
FIS,FIS,Stock,,,,,,,
FITB,FITB,Stock,,,,,,,
FLT,FLT,Stock,,,,,,,
FMC,FMC,Stock,,,,,,,
FOX,FOX,Stock,,,,,,,
FOXA,FOXA,Stock,,,,,,,
FRC,FRC,Stock,,,,,,,
FRT,FRT,Stock,,,,,,,
FTNT,FTNT,Stock,,,,,,,
FTV,FTV,Stock,,,,,,,
GD,GD,Stock,,,,,,,
GE,GE,Stock,,,,,,,
GILD,GILD,Stock,,,,,,,
GIS,GIS,Stock,,,,,,,
GL,GL,Stock,,,,,,,
GLW,GLW,Stock,,,,,,,
GM,GM,Stock,,,,,,,
GNRC,GNRC,Stock,,,,,,,
GOOG,GOOG,Stock,,,,,,,
GOOGL,GOOGL,Stock,,,,,,,
GPC,GPC,Stock,,,,,,,
GPN,GPN,Stock,,,,,,,
GRMN,GRMN,Stock,,,,,,,
GS,GS,Stock,,,,,,,
GWW,GWW,Stock,,,,,,,
HAL,HAL,Stock,,,,,,,
HAS,HAS,Stock,,,,,,,
HBAN,HBAN,Stock,,,,,,,
HCA,HCA,Stock,,,,,,,
HD,HD,Stock,,,,,,,
HES,HES,Stock,,,,,,,
HIG,HIG,Stock,,,,,,,
HII,HII,Stock,,,,,,,
HLT,HLT,Stock,,,,,,,
HOLX,HOLX,Stock,,,,,,,
HON,HON,Stock,,,,,,,
HPE,HPE,Stock,,,,,,,
HPQ,HPQ,Stock,,,,,,,
HRL,HRL,Stock,,,,,,,
HSIC,HSIC,Stock,,,,,,,
HST,HST,Stock,,,,,,,
HSY,HSY,Stock,,,,,,,
HUBB,HUBB,Stock,,,,,,,
HUM,HUM,Stock,,,,,,,
HWM,HWM,Stock,,,,,,,
IBM,IBM,Stock,,,,,,,
ICE,ICE,Stock,,,,,,,
IDXX,IDXX,Stock,,,,,,,
IEX,IEX,Stock,,,,,,,
IFF,IFF,Stock,,,,,,,
ILMN,ILMN,Stock,,,,,,,
INCY,INCY,Stock,,,,,,,
INTC,INTC,Stock,,,,,,,
INTU,INTU,Stock,,,,,,,
INVH,INVH,Stock,,,,,,,
IP,IP,Stock,,,,,,,
IPG,IPG,Stock,,,,,,,
IQV,IQV,Stock,,,,,,,
IR,IR,Stock,,,,,,,
IRM,IRM,Stock,,,,,,,
ISRG,ISRG,Stock,,,,,,,
IT,IT,Stock,,,,,,,
ITW,ITW,Stock,,,,,,,
IVZ,IVZ,Stock,,,,,,,
J,J,Stock,,,,,,,
JBHT,JBHT,Stock,,,,,,,
JCI,JCI,Stock,,,,,,,
JKHY,JKHY,Stock,,,,,,,
JNJ,JNJ,Stock,,,,,,,
JNPR,JNPR,Stock,,,,,,,
JPM,JPM,Stock,,,,,,,
K,K,Stock,,,,,,,
KDP,KDP,Stock,,,,,,,
KEY,KEY,Stock,,,,,,,
KEYS,KEYS,Stock,,,,,,,
KHC,KHC,Stock,,,,,,,
KIM,KIM,Stock,,,,,,,
KLAC,KLAC,Stock,,,,,,,
KMB,KMB,Stock,,,,,,,
KMI,KMI,Stock,,,,,,,
KMX,KMX,Stock,,,,,,,
KO,KO,Stock,,,,,,,
KR,KR,Stock,,,,,,,
KVUE,KVUE,Stock,,,,,,,
L,L,Stock,,,,,,,
LDOS,LDOS,Stock,,,,,,,
LEN,LEN,Stock,,,,,,,
LH,LH,Stock,,,,,,,
LHX,LHX,Stock,,,,,,,
LIN,LIN,Stock,,,,,,,
LKQ,LKQ,Stock,,,,,,,
LLY,LLY,Stock,,,,,,,
LMT,LMT,Stock,,,,,,,
LNC,LNC,Stock,,,,,,,
LNT,LNT,Stock,,,,,,,
LOW,LOW,Stock,,,,,,,
LRCX,LRCX,Stock,,,,,,,
LULU,LULU,Stock,,,,,,,
LUV,LUV,Stock,,,,,,,
LVS,LVS,Stock,,,,,,,
LW,LW,Stock,,,,,,,
LYB,LYB,Stock,,,,,,,
LYV,LYV,Stock,,,,,,,
MA,MA,Stock,,,,,,,
MAA,MAA,Stock,,,,,,,
MAR,MAR,Stock,,,,,,,
MAS,MAS,Stock,,,,,,,
MCD,MCD,Stock,,,,,,,
MCHP,MCHP,Stock,,,,,,,
MCK,MCK,Stock,,,,,,,
MCO,MCO,Stock,,,,,,,
MDLZ,MDLZ,Stock,,,,,,,
MDT,MDT,Stock,,,,,,,
MET,MET,Stock,,,,,,,
META,META,Stock,,,,,,,
MGM,MGM,Stock,,,,,,,
MHK,MHK,Stock,,,,,,,
MKC,MKC,Stock,,,,,,,
MKTX,MKTX,Stock,,,,,,,
MLM,MLM,Stock,,,,,,,
MMC,MMC,Stock,,,,,,,
MMM,MMM,Stock,,,,,,,
MNST,MNST,Stock,,,,,,,
MO,MO,Stock,,,,,,,
MOH,MOH,Stock,,,,,,,
MOS,MOS,Stock,,,,,,,
MPC,MPC,Stock,,,,,,,
MPWR,MPWR,Stock,,,,,,,
MRK,MRK,Stock,,,,,,,
MRNA,MRNA,Stock,,,,,,,
MRO,MRO,Stock,,,,,,,
MS,MS,Stock,,,,,,,
MSCI,MSCI,Stock,,,,,,,
MSFT,MSFT,Stock,,,,,,,
MSI,MSI,Stock,,,,,,,
MTB,MTB,Stock,,,,,,,
MTCH,MTCH,Stock,,,,,,,
MTD,MTD,Stock,,,,,,,
MU,MU,Stock,,,,,,,
NCLH,NCLH,Stock,,,,,,,
NDAQ,NDAQ,Stock,,,,,,,
NDSN,NDSN,Stock,,,,,,,
NEE,NEE,Stock,,,,,,,
NEM,NEM,Stock,,,,,,,
NFLX,NFLX,Stock,,,,,,,
NI,NI,Stock,,,,,,,
NKE,NKE,Stock,,,,,,,
NOC,NOC,Stock,,,,,,,
NOW,NOW,Stock,,,,,,,
NRG,NRG,Stock,,,,,,,
NSC,NSC,Stock,,,,,,,
NTAP,NTAP,Stock,,,,,,,
NTRS,NTRS,Stock,,,,,,,
NUE,NUE,Stock,,,,,,,
NVDA,NVDA,Stock,,,,,,,
NVR,NVR,Stock,,,,,,,
NWS,NWS,Stock,,,,,,,
NWSA,NWSA,Stock,,,,,,,
NXPI,NXPI,Stock,,,,,,,
O,O,Stock,,,,,,,
ODFL,ODFL,Stock,,,,,,,
OKE,OKE,Stock,,,,,,,
OMC,OMC,Stock,,,,,,,
ON,ON,Stock,,,,,,,
ORCL,ORCL,Stock,,,,,,,
ORLY,ORLY,Stock,,,,,,,
OTIS,OTIS,Stock,,,,,,,
OXY,OXY,Stock,,,,,,,
PANW,PANW,Stock,,,,,,,
PARA,PARA,Stock,,,,,,,
PAYC,PAYC,Stock,,,,,,,
PAYX,PAYX,Stock,,,,,,,
PCAR,PCAR,Stock,,,,,,,
PCG,PCG,Stock,,,,,,,
PEAK,PEAK,Stock,,,,,,,
PEG,PEG,Stock,,,,,,,
PEP,PEP,Stock,,,,,,,
PFE,PFE,Stock,,,,,,,
PFG,PFG,Stock,,,,,,,
PG,PG,Stock,,,,,,,
PGR,PGR,Stock,,,,,,,
PH,PH,Stock,,,,,,,
PHM,PHM,Stock,,,,,,,
PKG,PKG,Stock,,,,,,,
PKI,PKI,Stock,,,,,,,
PLD,PLD,Stock,,,,,,,
PM,PM,Stock,,,,,,,
PNC,PNC,Stock,,,,,,,
PNR,PNR,Stock,,,,,,,
PNW,PNW,Stock,,,,,,,
PODD,PODD,Stock,,,,,,,
POOL,POOL,Stock,,,,,,,
PPG,PPG,Stock,,,,,,,
PPL,PPL,Stock,,,,,,,
PRU,PRU,Stock,,,,,,,
PSA,PSA,Stock,,,,,,,
PSX,PSX,Stock,,,,,,,
PTC,PTC,Stock,,,,,,,
PWR,PWR,Stock,,,,,,,
PXD,PXD,Stock,,,,,,,
PYPL,PYPL,Stock,,,,,,,
QCOM,QCOM,Stock,,,,,,,
QRVO,QRVO,Stock,,,,,,,
RCL,RCL,Stock,,,,,,,
RE,RE,Stock,,,,,,,
REG,REG,Stock,,,,,,,
REGN,REGN,Stock,,,,,,,
RF,RF,Stock,,,,,,,
RHI,RHI,Stock,,,,,,,
RJF,RJF,Stock,,,,,,,
RL,RL,Stock,,,,,,,
RMD,RMD,Stock,,,,,,,
ROK,ROK,Stock,,,,,,,
ROL,ROL,Stock,,,,,,,
ROP,ROP,Stock,,,,,,,
ROST,ROST,Stock,,,,,,,
RSG,RSG,Stock,,,,,,,
RTX,RTX,Stock,,,,,,,
RVTY,RVTY,Stock,,,,,,,
SBAC,SBAC,Stock,,,,,,,
SBUX,SBUX,Stock,,,,,,,
SCHW,SCHW,Stock,,,,,,,
SHW,SHW,Stock,,,,,,,
SJM,SJM,Stock,,,,,,,
SLB,SLB,Stock,,,,,,,
SNA,SNA,Stock,,,,,,,
SNPS,SNPS,Stock,,,,,,,
SO,SO,Stock,,,,,,,
SPG,SPG,Stock,,,,,,,
SPGI,SPGI,Stock,,,,,,,
SRE,SRE,Stock,,,,,,,
STE,STE,Stock,,,,,,,
STLD,STLD,Stock,,,,,,,
STT,STT,Stock,,,,,,,
STX,STX,Stock,,,,,,,
STZ,STZ,Stock,,,,,,,
SWK,SWK,Stock,,,,,,,
SWKS,SWKS,Stock,,,,,,,
SYF,SYF,Stock,,,,,,,
SYK,SYK,Stock,,,,,,,
SYY,SYY,Stock,,,,,,,
T,T,Stock,,,,,,,
TAP,TAP,Stock,,,,,,,
TDG,TDG,Stock,,,,,,,
TDY,TDY,Stock,,,,,,,
TECH,TECH,Stock,,,,,,,
TEL,TEL,Stock,,,,,,,
TER,TER,Stock,,,,,,,
TFC,TFC,Stock,,,,,,,
TFX,TFX,Stock,,,,,,,
TGT,TGT,Stock,,,,,,,
TJX,TJX,Stock,,,,,,,
TMO,TMO,Stock,,,,,,,
TMOS,TMOS,Stock,,,,,,,
TPR,TPR,Stock,,,,,,,
TRGP,TRGP,Stock,,,,,,,
TRMB,TRMB,Stock,,,,,,,
TROW,TROW,Stock,,,,,,,
TRV,TRV,Stock,,,,,,,
TSCO,TSCO,Stock,,,,,,,
TSLA,TSLA,Stock,,,,,,,
TSN,TSN,Stock,,,,,,,
TT,TT,Stock,,,,,,,
TTWO,TTWO,Stock,,,,,,,
TXN,TXN,Stock,,,,,,,
TXT,TXT,Stock,,,,,,,
TYL,TYL,Stock,,,,,,,
UAL,UAL,Stock,,,,,,,
UDR,UDR,Stock,,,,,,,
UHS,UHS,Stock,,,,,,,
ULTA,ULTA,Stock,,,,,,,
UNH,UNH,Stock,,,,,,,
UNP,UNP,Stock,,,,,,,
UPS,UPS,Stock,,,,,,,
URI,URI,Stock,,,,,,,
USB,USB,Stock,,,,,,,
V,V,Stock,,,,,,,
VFC,VFC,Stock,,,,,,,
VICI,VICI,Stock,,,,,,,
VLO,VLO,Stock,,,,,,,
VMC,VMC,Stock,,,,,,,
VRSK,VRSK,Stock,,,,,,,
VRSN,VRSN,Stock,,,,,,,
VRTX,VRTX,Stock,,,,,,,
VTR,VTR,Stock,,,,,,,
VTRS,VTRS,Stock,,,,,,,
VZ,VZ,Stock,,,,,,,
WAB,WAB,Stock,,,,,,,
WAT,WAT,Stock,,,,,,,
WBA,WBA,Stock,,,,,,,
WBD,WBD,Stock,,,,,,,
WDC,WDC,Stock,,,,,,,
WEC,WEC,Stock,,,,,,,
WELL,WELL,Stock,,,,,,,
WFC,WFC,Stock,,,,,,,
WHR,WHR,Stock,,,,,,,
WM,WM,Stock,,,,,,,
WMB,WMB,Stock,,,,,,,
WMT,WMT,Stock,,,,,,,
WRB,WRB,Stock,,,,,,,
WRK,WRK,Stock,,,,,,,
WST,WST,Stock,,,,,,,
WTW,WTW,Stock,,,,,,,
WY,WY,Stock,,,,,,,
WYNN,WYNN,Stock,,,,,,,
XEL,XEL,Stock,,,,,,,
XOM,XOM,Stock,,,,,,,
XRAY,XRAY,Stock,,,,,,,
XYL,XYL,Stock,,,,,,,
YUM,YUM,Stock,,,,,,,
ZBH,ZBH,Stock,,,,,,,
ZBRA,ZBRA,Stock,,,,,,,
ZION,ZION,Stock,,,,,,,
ZTS,ZTS,Stock,,,,,,,